
2025-11-22 14:03:56.195481 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\Users\\Заря\\Documents\\LIBRARY\\ФЗДО\\4 курс\\ОСиАС\\ОС\\reestrCplus\\Debug\\reestrCplus.ilk', 'MD5']' returned non-zero exit status 2147943406.
2025-11-22 14:04:19.430034 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\USB-накопитель\\ОС\\reestrCplus\\Debug\\reestrCplus.ilk', 'MD5']' returned non-zero exit status 2147943406.
2025-11-22 14:04:19.473029 fileSearch - C:\ПЕРЕМЕСТИТЬ\USB-накопитель\ОС\Работа с реестром в c++.docx
2025-11-22 14:04:19.510028 fileSearch - C:\ПЕРЕМЕСТИТЬ\USB-накопитель\ОС\Работа с реестром Пример.docx
2025-11-24 21:43:14.488181 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\.nomedia', 'SH1']' returned non-zero exit status 2147943406.
2025-11-24 21:43:14.536182 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\VID-20170728-WA0005.mp4', 'SH1']' returned non-zero exit status 3489661477.
2025-11-24 21:43:14.578180 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\VID-20170729-WA0013.mp4', 'SH1']' returned non-zero exit status 3489661477.
2025-11-24 21:43:14.619181 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\VID-20170729-WA0028.mp4', 'SH1']' returned non-zero exit status 3489661477.
2025-11-24 21:43:14.667182 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\VID-20170828-WA0002.mp4', 'SH1']' returned non-zero exit status 3489661477.
2025-11-24 21:43:14.705181 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\VID-20170828-WA0006.mp4', 'SH1']' returned non-zero exit status 3489661477.
2025-11-24 21:43:14.743180 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\VID-20170828-WA0036.mp4', 'SH1']' returned non-zero exit status 3489661477.
2025-11-24 21:43:14.782181 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\VID-20170828-WA0066.mp4', 'SH1']' returned non-zero exit status 3489661477.
2025-11-24 21:43:14.820180 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\VID-20171006-WA0009.mp4', 'SH1']' returned non-zero exit status 3489661477.
2025-11-24 21:43:14.859182 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\VID-20171006-WA0015.mp4', 'SH1']' returned non-zero exit status 3489661477.
2025-11-24 21:43:14.897179 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\VID-20171017-WA0024.mp4', 'SH1']' returned non-zero exit status 3489661477.
2025-11-24 21:43:14.937180 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\VID-20171022-WA0010.mp4', 'SH1']' returned non-zero exit status 3489661477.
2025-11-24 21:43:14.975181 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\VID-20171025-WA0001.mp4', 'SH1']' returned non-zero exit status 3489661477.
2025-11-24 21:43:15.012181 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\VID-20171104-WA0045.mp4', 'SH1']' returned non-zero exit status 3489661477.
2025-11-24 21:43:15.050180 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\VID-20171117-WA0046.mp4', 'SH1']' returned non-zero exit status 3489661477.
2025-11-24 21:43:15.089179 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\VID-20171117-WA0049.mp4', 'SH1']' returned non-zero exit status 3489661477.
2025-11-24 21:43:15.128179 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\VID-20171117-WA0050.mp4', 'SH1']' returned non-zero exit status 3489661477.
2025-11-24 21:43:15.169189 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\VID-20171119-WA0008.mp4', 'SH1']' returned non-zero exit status 3489661477.
2025-11-24 21:43:15.211180 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\VID-20171128-WA0007.mp4', 'SH1']' returned non-zero exit status 3489661477.
2025-11-24 21:43:15.250184 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\VID-20171130-WA0002.mp4', 'SH1']' returned non-zero exit status 3489661477.
2025-11-24 21:43:15.293179 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\VID-20171130-WA0005.mp4', 'SH1']' returned non-zero exit status 3489661477.
2025-11-24 21:43:15.332179 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\VID-20171203-WA0004.mp4', 'SH1']' returned non-zero exit status 3489661477.
2025-11-24 21:43:15.371181 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\VID-20171203-WA0006.mp4', 'SH1']' returned non-zero exit status 3489661477.
2025-11-24 21:43:15.409180 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\VID-20171231-WA0007.mp4', 'SH1']' returned non-zero exit status 3489661477.
2025-11-24 21:43:15.450181 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\VID-20171231-WA0027.mp4', 'SH1']' returned non-zero exit status 3489661477.
2025-11-24 21:43:15.488181 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\VID-20171231-WA0032.mp4', 'SH1']' returned non-zero exit status 3489661477.
2025-11-24 21:43:15.529179 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\VID-20171231-WA0035.mp4', 'SH1']' returned non-zero exit status 3489661477.
2025-11-24 21:43:15.567180 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\VID-20180107-WA0024.mp4', 'SH1']' returned non-zero exit status 3489661477.
2025-11-24 21:43:15.606181 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\VID-20180107-WA0037.mp4', 'SH1']' returned non-zero exit status 3489661477.
2025-11-24 21:43:15.642179 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\VID-20180112-WA0027.mp4', 'SH1']' returned non-zero exit status 3489661477.
2025-11-24 21:43:15.684185 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\VID-20180118-WA0048.mp4', 'SH1']' returned non-zero exit status 3489661477.
2025-11-24 21:43:15.726180 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\VID-20180119-WA0010.mp4', 'SH1']' returned non-zero exit status 3489661477.
2025-11-24 21:43:15.764181 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\VID-20180129-WA0006.mp4', 'SH1']' returned non-zero exit status 3489661477.
2025-11-24 21:43:15.802182 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\VID-20180201-WA0008.mp4', 'SH1']' returned non-zero exit status 3489661477.
